Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
06/01/2019,Brooklyn,K03,"42,175","22,689","9,623","5,056","18,651","37,926"
06/01/2019,Brooklyn,K04,"22,898","13,944","3,895","2,193","11,194","21,504"
06/01/2019,Brooklyn,K05,"60,158","34,349","13,583","7,111","23,716","51,739"
06/01/2019,Brooklyn,K06,"9,682","6,506","1,835","1,124","4,934","9,793"
06/01/2019,Brooklyn,K07,"20,210","11,920","2,809","1,693","20,255","27,627"
06/01/2019,Brooklyn,K08,"19,179","12,354","4,892","2,932","8,370","18,665"
06/01/2019,Brooklyn,K09,"19,546","11,936","3,912","2,335","10,517","18,736"
06/01/2019,Brooklyn,K10,"16,134","9,544","1,835","1,160","15,836","21,357"
06/01/2019,Brooklyn,K11,"34,095","20,231","3,068","1,821","30,028","42,872"
06/01/2019,Brooklyn,K12,"58,535","19,012","9,470","2,411","47,004","62,841"
06/01/2019,Brooklyn,K13,"30,591","20,465","4,670","2,387","15,362","33,339"
06/01/2019,Brooklyn,K14,"29,212","17,163","4,255","2,431","19,361","31,086"
06/01/2019,Brooklyn,K15,"26,621","16,639","2,944","1,630","19,928","31,871"
06/01/2019,Brooklyn,K16,"35,639","19,966","11,108","5,612","10,913","31,687"
06/01/2019,Brooklyn,K17,"28,529","18,165","7,180","4,256","13,834","27,404"
06/01/2019,Brooklyn,K18,"26,792","16,163","5,054","2,778","16,124","27,991"
06/01/2019,Manhattan,M01,"2,184","1,770",702,566,"1,491","2,925"
06/01/2019,Manhattan,M02,"2,775","2,250",328,282,"2,568","3,668"
06/01/2019,Manhattan,M03,"35,305","24,217","5,926","3,926","22,977","40,800"
06/01/2019,Manhattan,M04,"11,315","8,488","2,818","2,053","5,735","12,290"
06/01/2019,Manhattan,M05,"5,308","3,716","2,333","1,485","1,615","6,119"
06/01/2019,Manhattan,M06,"5,011","4,322","1,092",908,"2,987","5,594"
06/01/2019,Manhattan,M07,"15,625","11,779","3,235","2,250","8,144","16,757"
06/01/2019,Manhattan,M08,"5,254","4,192",769,563,"4,075","6,758"
06/01/2019,Manhattan,M09,"20,840","13,742","4,642","2,904","9,636","20,305"
06/01/2019,Manhattan,M10,"30,804","19,758","8,207","5,066","11,667","28,164"
06/01/2019,Manhattan,M11,"40,234","25,354","9,747","5,937","16,007","38,025"
06/01/2019,Manhattan,M12,"43,400","29,730","6,229","4,044","23,327","42,525"
06/01/2019,Queens,Q01,"21,293","12,769","3,881","2,248","17,046","25,976"
06/01/2019,Queens,Q02,"10,293","6,477","1,597","1,049","12,224","15,812"
06/01/2019,Queens,Q03,"22,617","13,043","2,561","1,612","25,143","31,031"
06/01/2019,Queens,Q04,"24,024","14,010","2,530","1,653","27,163","33,814"
06/01/2019,Queens,Q05,"16,965","9,963","1,907","1,225","14,789","19,781"
06/01/2019,Queens,Q06,"9,651","6,761",760,537,"8,614","12,531"
06/01/2019,Queens,Q07,"25,006","16,503","3,441","2,329","34,057","43,345"
06/01/2019,Queens,Q08,"16,797","10,221","2,954","1,874","15,966","22,836"
06/01/2019,Queens,Q09,"20,207","11,751","2,827","1,783","16,333","23,177"
06/01/2019,Queens,Q10,"15,042","9,126","2,323","1,394","11,691","17,171"
06/01/2019,Queens,Q11,"6,333","4,316",770,541,"9,617","11,889"
06/01/2019,Queens,Q12,"41,373","25,288","9,423","5,686","23,929","42,045"
06/01/2019,Queens,Q13,"18,224","11,806","3,495","2,283","14,088","21,628"
06/01/2019,Queens,Q14,"27,909","15,139","7,803","3,564","12,209","28,629"
06/01/2019,Staten_Island,S01,"35,062","18,683","10,578","5,052","16,375","36,057"
06/01/2019,Staten_Island,S02,"13,599","8,129","2,307","1,329","11,665","17,718"
06/01/2019,Staten_Island,S03,"9,624","6,142","1,228",755,"8,426","12,056"
09/01/2019,Bronx,B01,"41,969","22,681","12,404","6,573","13,854","37,854"
09/01/2019,Bronx,B02,"20,542","11,318","6,420","3,293","6,313","18,641"
09/01/2019,Bronx,B03,"39,456","21,518","12,194","6,448","12,025","35,068"
09/01/2019,Bronx,B04,"52,131","29,095","15,035","7,793","18,880","46,989"
09/01/2019,Bronx,B05,"50,652","27,772","15,917","8,219","16,395","44,460"
09/01/2019,Bronx,B06,"36,831","20,036","13,126","6,560","9,995","33,440"
09/01/2019,Bronx,B07,"42,511","24,395","12,494","6,610","16,276","39,265"
09/01/2019,Bronx,B08,"15,257","9,177","3,203","1,679","8,459","15,893"
09/01/2019,Bronx,B09,"49,052","27,111","13,186","6,668","19,969","45,723"
09/01/2019,Bronx,B10,"16,745","10,288","3,587","1,895","8,797","16,833"
09/01/2019,Bronx,B11,"22,349","13,099","5,503","2,972","11,171","23,021"
09/01/2019,Bronx,B12,"35,257","19,366","12,070","6,029","12,882","33,902"
09/01/2019,Brooklyn,K01,"49,470","19,580","6,552","2,501","32,588","45,521"
09/01/2019,Brooklyn,K02,"12,682","8,554","2,933","1,850","6,444","13,076"
09/01/2019,Brooklyn,K03,"41,664","22,449","9,485","5,001","18,056","37,043"
09/01/2019,Brooklyn,K04,"22,301","13,700","3,992","2,229","10,742","20,814"
09/01/2019,Brooklyn,K05,"59,488","34,055","13,684","7,148","22,932","50,489"
09/01/2019,Brooklyn,K06,"9,754","6,511","1,833","1,143","4,838","9,690"
09/01/2019,Brooklyn,K07,"19,654","11,670","2,744","1,655","19,111","26,344"
09/01/2019,Brooklyn,K08,"18,858","12,226","4,812","2,888","8,100","18,194"
09/01/2019,Brooklyn,K09,"19,295","11,792","3,838","2,318","10,299","18,356"
09/01/2019,Brooklyn,K10,"15,945","9,491","1,795","1,165","15,242","20,712"
09/01/2019,Brooklyn,K11,"33,279","19,920","2,954","1,810","28,736","41,342"
09/01/2019,Brooklyn,K12,"58,390","18,865","9,669","2,417","45,212","60,870"
09/01/2019,Brooklyn,K13,"30,178","20,214","4,792","2,427","14,958","32,734"
09/01/2019,Brooklyn,K14,"28,377","16,880","4,251","2,444","18,591","30,015"
09/01/2019,Brooklyn,K15,"26,162","16,422","2,905","1,616","19,289","30,921"
09/01/2019,Brooklyn,K16,"35,066","19,827","11,086","5,566","10,479","31,040"
09/01/2019,Brooklyn,K17,"28,160","18,092","7,251","4,307","13,540","27,091"
09/01/2019,Brooklyn,K18,"26,708","16,132","5,225","2,825","15,845","27,676"
09/01/2019,Manhattan,M01,"2,163","1,757",673,564,"1,445","2,865"
09/01/2019,Manhattan,M02,"2,729","2,218",296,274,"2,449","3,515"
09/01/2019,Manhattan,M03,"35,323","24,279","5,920","3,970","21,680","39,318"
09/01/2019,Manhattan,M04,"11,404","8,557","2,839","2,103","5,552","12,105"
09/01/2019,Manhattan,M05,"5,525","3,765","2,512","1,523","1,637","6,136"
09/01/2019,Manhattan,M06,"4,981","4,305",952,846,"2,976","5,443"
09/01/2019,Manhattan,M07,"15,501","11,673","3,263","2,313","7,948","16,392"
09/01/2019,Manhattan,M08,"5,273","4,203",704,547,"4,059","6,673"
